,5.25%,5.250%,"129,357.95","1,819.44","1,300.00","4,999.17","4,070.00","5,000.00","3,963.20",,"5,000.00","6,624.77","3,420.10"," 2,500.00 "," 5,000.00 ","5,000.00","2,718.58","4,752.37","4,000.00","4,902.00","4,999.00","4,845.00","4,999.05","5,000.00","5,000.00","5,000.00",,,"4,977.27","5,000.00","5,000.00","4,500.00","5,000.00",,"4,968.00",,,,,,"5,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Role ?,10.25%,5.25%,5.25%,5.25%,0.00%,5.25%,5.25%,5.25%,5.25%,5.25%,5.25%,5.25%,5.25%,5.25%,5.25%,5.25%,5.25%,5.25%,5.25%,5.25%,5.25%,5.25%,5.25%,5.25%,5.25%,5.25%,5.25%,5.25%,5.25%,5.25%,5.25%,10.25%,5.25%,15.25%,5.25%,9.25%,5.25%,20.25%,11.25%,5.25%,5.25%,5.25%,5.25%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,," 5,630,707.74 "," 361,044.67 "," 418,601.37 "," 228,629.86 "," 148,000.00 "," 500,000.00 "," 418,416.00 "," 285,206.25 "," 344,244.55 "," 344,244.55 "," 347,779.77 "," 340,633.13 "," 300,000.00 ", -   ," 122,692.50 "," 91,481.25 "," 80,649.87 "," 86,120.69 "," 54,580.78 "," 45,417.75 "," 49,938.00 "," 49,960.00 "," 45,418.00 "," 45,417.75 "," 45,417.75 "," 45,417.75 "," 45,417.75 "," 42,200.00 "," 42,200.00 "," 42,200.00 "," 42,200.00 "," 42,200.00 "," 125,179.83 "," 49,834.63 "," 52,575.53 "," 43,243.27 "," 34,857.00 "," 39,000.00 "," 37,000.00 "," 32,287.50 "," 37,000.00 "," 44,000.00 "," 44,000.00 "," 36,000.00 "," 55,000.00 ", -   ,,,,,,,,,,,,,,,,,,,
,,,,1,2,3,4,5,6,7,7,8,9,10,11,13,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,,,,,,,,,,,,,,
,,,," 37,007.08 "," 21,976.57 "," 12,003.07 "," 7,770.00 "," 50,000.00 "," 21,966.84 "," (285,206.25)"," (344,244.55)"," 18,072.84 "," 18,258.44 "," 17,883.24 "," 15,750.00 "," 250,000.00 "," 6,441.36 "," 4,802.77 "," 4,234.12 "," 4,521.34 "," 2,865.49 "," 2,384.43 "," 2,621.75 "," 2,622.90 "," 2,384.45 "," 2,384.43 ",,,,,,,,," 18,268.15 "," 2,616.32 "," 8,017.77 "," 2,270.27 "," 3,224.27 "," 2,047.50 "," 7,492.50 "," 3,632.34 "," 1,942.50 ",," 2,310.00 ",,,,,,,,,,,,,,,,,,,,,,
,,379000,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"-39,416.00 ",,1000,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012,1013,1014,1015,1016,1017,1018,1019,1020,1021,1022,1023,1024,1025,1026,1027,1028,1029,1030,1031,1032,1033,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043,1044,1045,1046,1047,1048,1049,55000, -   ,,,,,,,,,,,,
BASIC SALARY,," 430,732.86 "," 6,061,440.60 "," 398,051.75 "," 440,577.94 "," 240,632.93 "," 155,770.00 "," 550,000.00 "," 440,382.84 ",," 400,000.00 "," 362,317.38 "," 366,038.21 "," 358,516.36 "," 315,750.00 "," 250,000.00 "," 129,133.86 "," 96,284.02 "," 84,883.99 "," 90,642.03 "," 57,446.27 "," 47,802.18 "," 52,559.75 "," 52,582.89 "," 47,802.45 "," 47,802.18 ", -   ,," 47,802.18 "," 44,415.50 "," 44,415.50 "," 44,415.50 "," 44,415.50 ", -   ," 143,447.99 "," 52,450.94 "," 60,593.30 "," 45,513.54 "," 38,081.27 "," 41,047.50 "," 44,492.50 "," 35,919.84 "," 38,942.50 "," 46,310.00 "," 46,310.00 "," 37,890.00 "," 55,000.00 "," 45,000.00 "," 24,000.00 "," 24,000.00 "," 24,000.00 "," 24,000.00 "," 24,000.00 "," 41,250.00 ",,,,,,,,,,,,,
Arrears, -   ,-9.42%, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax compensation, -   ,," 271,955.95 ", -   , -   , -   ,,," 57,039.51 ", -   , -   ," 53,729.11 "," 53,729.11 "," 53,729.11 "," 53,729.11 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,
Mobile phone-Benefit,157716,," 38,807.39 ", 545.83 , 390.00 ," 1,499.75 "," 1,221.00 "," 1,500.00 "," 1,188.96 ", -   ," 1,500.00 "," 1,987.43 "," 1,026.03 ", 750.00 ," 1,500.00 "," 1,500.00 ", 815.57 ," 1,425.71 "," 1,200.00 "," 1,470.60 "," 1,499.70 "," 1,453.50 "," 1,499.72 "," 1,500.00 "," 1,500.00 "," 1,500.00 ", -   , -   ," 1,493.18 "," 1,500.00 "," 1,500.00 "," 1,350.00 "," 1,500.00 ", -   ," 1,490.40 ", -   , -   , -   , -   , -   ," 1,500.00 ", -   ,,,,,,,,,,,,40, 69.00 ,34,,,,,,,,,,,
